Plage des LongChamps, St Lunaire;48.620019,-2.1355192;Sud
Plage de Primel, Plougasnou;48.7116581,-3.8171246;Sud
Plage de La Baule, La Baule-Escoublac;47.27921630482246,-2.379398571308715;Nord-Ouest
